"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","21,600,000",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,442,000",""
"SURVEY","2015","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2015","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","29,000",""
"SURVEY","2015","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","143,000",""
"SURVEY","2015","YEAR","","STATE","OHIO","39","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","23,000",""
"SURVEY","2015","YEAR","","STATE","OREGON","41","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","2015","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","47,000",""
"SURVEY","2015","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","34,000",""
"SURVEY","2015","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2015","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","34,000",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","22,100,000",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,071,000",""
"SURVEY","2014","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2014","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","32,000",""
"SURVEY","2014","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","154,000",""
"SURVEY","2014","YEAR","","STATE","OHIO","39","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2014","YEAR","","STATE","OREGON","41","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","2014","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","72,000",""
"SURVEY","2014","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","33,000",""
"SURVEY","2014","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2014","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","38,000",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","22,398,000",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,332,000",""
"SURVEY","2013","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
