Year,Period,State,State ANSI,Value
2015,YEAR,CALIFORNIA,06,21600000
2015,YEAR,FLORIDA,12,2442000
2015,YEAR,NEW YORK,36,29000
2015,YEAR,NORTH CAROLINA,37,143000
2015,YEAR,OHIO,39,23000
2015,YEAR,OREGON,41,20000
2015,YEAR,OTHER STATES,NA,47000
2015,YEAR,PENNSYLVANIA,42,34000
2015,YEAR,WISCONSIN,55,34000
2014,YEAR,CALIFORNIA,06,22100000
2014,YEAR,FLORIDA,12,2071000
2014,YEAR,NEW YORK,36,32000
2014,YEAR,NORTH CAROLINA,37,154000
2014,YEAR,OHIO,39,18000
2014,YEAR,OREGON,41,25000
2014,YEAR,OTHER STATES,NA,72000
2014,YEAR,PENNSYLVANIA,42,33000
2014,YEAR,WISCONSIN,55,38000
2013,YEAR,CALIFORNIA,06,22398000
2013,YEAR,FLORIDA,12,2332000
2013,YEAR,NEW YORK,36,38000
2013,YEAR,NORTH CAROLINA,37,110000
2013,YEAR,OHIO,39,29000
2013,YEAR,OREGON,41,22000
2013,YEAR,OTHER STATES,NA,66000
2013,YEAR,PENNSYLVANIA,42,51000
2013,YEAR,WISCONSIN,55,39000
2012,YEAR,CALIFORNIA,06,21936000
2012,YEAR,FLORIDA,12,2226000
2012,YEAR,MICHIGAN,26,32000
2012,YEAR,NEW YORK,36,32000
2012,YEAR,NORTH CAROLINA,37,162000
2012,YEAR,OHIO,39,25000
2012,YEAR,OREGON,41,35000
2012,YEAR,PENNSYLVANIA,42,42000
2012,YEAR,WASHINGTON,53,24000
2012,YEAR,WISCONSIN,55,38000
2011,YEAR,CALIFORNIA,06,20462000
2011,YEAR,FLORIDA,12,2475000
2011,YEAR,MICHIGAN,26,29000
2011,YEAR,NEW YORK,36,36000
2011,YEAR,NORTH CAROLINA,37,169000
2011,YEAR,OHIO,39,26000
2011,YEAR,OREGON,41,28000
2011,YEAR,PENNSYLVANIA,42,40000
2011,YEAR,WASHINGTON,53,17000
2011,YEAR,WISCONSIN,55,42000
2010,SPRING - MAR FORECAST,CALIFORNIA,06,23063000
2010,SPRING - MAR FORECAST,FLORIDA,12,1440000
2010,SUMMER - JUN FORECAST,CALIFORNIA,06,24375000
2010,SUMMER - JUN FORECAST,FLORIDA,12,1440000
2010,SUMMER - JUN FORECAST,OREGON,41,204000
2010,YEAR,CALIFORNIA,06,20851000
2010,YEAR,FLORIDA,12,1936000
2010,YEAR,MICHIGAN,26,27000
2010,YEAR,NEW YORK,36,35000
2010,YEAR,NORTH CAROLINA,37,168000
2010,YEAR,OHIO,39,35000
