"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2024","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2024","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,746,983,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,307,247,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2022","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,112,100,000",""
"SURVEY","2021","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
