Year,Period,State,State ANSI,Value
2024,YEAR,OTHER STATES,NA,3746983000
2023,YEAR,OTHER STATES,NA,3307247000
2022,YEAR,OTHER STATES,NA,3112100000
2021,YEAR,OTHER STATES,NA,3253959000
2020,YEAR,OTHER STATES,NA,2404152000
2019,YEAR,OTHER STATES,NA,2501482000
2018,YEAR,CALIFORNIA,06,1964352000
2018,YEAR,FLORIDA,12,243800000
2018,YEAR,NORTH CAROLINA,37,22230000
2018,YEAR,OTHER STATES,NA,12324000
2018,YEAR - AUG FORECAST,CALIFORNIA,06,2829210000
2018,YEAR - AUG FORECAST,FLORIDA,12,292050000
2018,YEAR - AUG FORECAST,NORTH CAROLINA,37,21375000
2018,YEAR - AUG FORECAST,OTHER STATES,NA,12288000
2017,YEAR,CALIFORNIA,06,2336520000
2017,YEAR,NORTH CAROLINA,37,21168000
2017,YEAR,OREGON,41,6396000
2017,YEAR,OTHER STATES,NA,316105000
2017,YEAR - AUG FORECAST,CALIFORNIA,06,1466190000
2017,YEAR - AUG FORECAST,NORTH CAROLINA,37,24528000
2017,YEAR - AUG FORECAST,OREGON,41,3705000
2017,YEAR - AUG FORECAST,OTHER STATES,NA,288142000
2016,YEAR,CALIFORNIA,06,2562053000
2016,YEAR,FLORIDA,12,323285000
2016,YEAR,NEW YORK,36,11844000
2016,YEAR,NORTH CAROLINA,37,24684000
2016,YEAR,OREGON,41,3769000
2016,YEAR,OTHER STATES,NA,0
2016,YEAR,WASHINGTON,53,6007000
2015,YEAR,CALIFORNIA,06,1596240000
2015,YEAR,FLORIDA,12,290598000
2015,YEAR,NEW YORK,36,7366000
2015,YEAR,NORTH CAROLINA,37,23452000
2015,YEAR,OHIO,39,3910000
2015,YEAR,OREGON,41,3400000
2015,YEAR,OTHER STATES,NA,8133000
2015,YEAR,PENNSYLVANIA,42,7242000
2015,YEAR,WISCONSIN,55,5780000
2014,YEAR,CALIFORNIA,06,2210000000
2014,YEAR,FLORIDA,12,306508000
2014,YEAR,NEW YORK,36,7520000
2014,YEAR,NORTH CAROLINA,37,23408000
2014,YEAR,OHIO,39,3474000
2014,YEAR,OREGON,41,4025000
2014,YEAR,OTHER STATES,NA,12940000
2014,YEAR,PENNSYLVANIA,42,5280000
2014,YEAR,WISCONSIN,55,6270000
2013,YEAR,CALIFORNIA,06,2024779000
2013,YEAR,FLORIDA,12,333476000
2013,YEAR,NEW YORK,36,7729000
2013,YEAR,NORTH CAROLINA,37,16280000
2013,YEAR,OHIO,39,6061000
2013,YEAR,OREGON,41,3674000
2013,YEAR,OTHER STATES,NA,11563000
2013,YEAR,PENNSYLVANIA,42,11373000
2013,YEAR,WISCONSIN,55,6435000
2012,YEAR,CALIFORNIA,06,1947917000
2012,YEAR,FLORIDA,12,244860000
2012,YEAR,MICHIGAN,26,4768000
2012,YEAR,NEW YORK,36,6880000
2012,YEAR,NORTH CAROLINA,37,23490000
2012,YEAR,OHIO,39,4200000
2012,YEAR,OREGON,41,4865000
2012,YEAR,PENNSYLVANIA,42,6888000
2012,YEAR,WASHINGTON,53,4248000
2012,YEAR,WISCONSIN,55,5738000
2011,YEAR,CALIFORNIA,06,1761778000
2011,YEAR,FLORIDA,12,366300000
2011,YEAR,MICHIGAN,26,4408000
2011,YEAR,NEW YORK,36,8460000
2011,YEAR,NORTH CAROLINA,37,23660000
2011,YEAR,OHIO,39,5460000
2011,YEAR,OREGON,41,4144000
2011,YEAR,PENNSYLVANIA,42,8480000
2011,YEAR,WASHINGTON,53,3927000
2011,YEAR,WISCONSIN,55,6762000
2010,YEAR,CALIFORNIA,06,1674335000
2010,YEAR,FLORIDA,12,362032000
2010,YEAR,MICHIGAN,26,3969000
2010,YEAR,NEW YORK,36,6895000
2010,YEAR,NORTH CAROLINA,37,22680000
2010,YEAR,OHIO,39,9520000
2010,YEAR,OREGON,41,6142000
2010,YEAR,PENNSYLVANIA,42,11592000
2010,YEAR,WASHINGTON,53,1890000
2010,YEAR,WISCONSIN,55,6437000
2009,YEAR,CALIFORNIA,06,1583160000
2009,YEAR,FLORIDA,12,313632000
2009,YEAR,MICHIGAN,26,6450000
2009,YEAR,NEW YORK,36,9020000
2009,YEAR,NORTH CAROLINA,37,26325000
2009,YEAR,OHIO,39,5730000
2009,YEAR,OREGON,41,4060000
2009,YEAR,PENNSYLVANIA,42,13520000
2009,YEAR,WASHINGTON,53,1738000
2009,YEAR,WISCONSIN,55,7285000
2008,YEAR,CALIFORNIA,06,1438167000
2008,YEAR,FLORIDA,12,249366000
2008,YEAR,MICHIGAN,26,5734000
2008,YEAR,NEW YORK,36,7425000
2008,YEAR,NORTH CAROLINA,37,20800000
2008,YEAR,OHIO,39,7308000
2008,YEAR,OREGON,41,4472000
2008,YEAR,PENNSYLVANIA,42,15403000
2008,YEAR,WASHINGTON,53,3784000
2008,YEAR,WISCONSIN,55,7105000
2007,YEAR,CALIFORNIA,06,1298936000
