"Year","State","Data Item","Price_CWT"
1998,"LOUISIANA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",70
1998,"MICHIGAN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",79
1998,"NEW JERSEY","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",44.2
1998,"NEW YORK","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",115
1998,"NORTH CAROLINA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",75
1998,"OHIO","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",100
1998,"OREGON","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",70
1998,"PENNSYLVANIA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",109
1998,"WASHINGTON","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",92
1998,"WISCONSIN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",108
1999,"LOUISIANA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",72
1999,"LOUISIANA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",72
1999,"MICHIGAN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",78
1999,"MICHIGAN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",78
1999,"NEW JERSEY","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",63.5
1999,"NEW JERSEY","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",63.5
1999,"NEW YORK","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",106
1999,"NEW YORK","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",106
1999,"NORTH CAROLINA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",80
1999,"NORTH CAROLINA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",80
1999,"OHIO","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",105
1999,"OHIO","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",105
1999,"OREGON","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",86
1999,"OREGON","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",86
1999,"PENNSYLVANIA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",105
1999,"PENNSYLVANIA","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",105
1999,"WASHINGTON","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",107
1999,"WASHINGTON","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",107
1999,"WISCONSIN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",99
1999,"WISCONSIN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",99
2000,"MICHIGAN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",81
2000,"MICHIGAN","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",81
2000,"NEW JERSEY","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",94
2000,"NEW JERSEY","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",94
